rewire_id,label_pred
sexism2022_english-10731,3.2 immutable gender differences and gender stereotypes
sexism2022_english-7356,3.2 immutable gender differences and gender stereotypes
sexism2022_english-13064,1.2 incitement and encouragement of harm
sexism2022_english-17039,3.2 immutable gender differences and gender stereotypes
sexism2022_english-14482,2.1 descriptive attacks
sexism2022_english-4534,2.1 descriptive attacks
sexism2022_english-16548,2.1 descriptive attacks
sexism2022_english-19332,2.2 aggressive and emotive attacks
sexism2022_english-8173,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-18056,2.2 aggressive and emotive attacks
sexism2022_english-19528,1.2 incitement and encouragement of harm
sexism2022_english-13452,1.1 threats of harm
sexism2022_english-7156,1.2 incitement and encouragement of harm
sexism2022_english-13880,2.2 aggressive and emotive attacks
sexism2022_english-7266,1.2 incitement and encouragement of harm
sexism2022_english-5073,2.1 descriptive attacks
sexism2022_english-2412,4.2 supporting systemic discrimination against women as a group
sexism2022_english-19933,3.2 immutable gender differences and gender stereotypes
sexism2022_english-15876,4.2 supporting systemic discrimination against women as a group
sexism2022_english-11821,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-16870,1.2 incitement and encouragement of harm
sexism2022_english-18872,2.2 aggressive and emotive attacks
sexism2022_english-15076,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-1736,2.1 descriptive attacks
sexism2022_english-3791,2.1 descriptive attacks
sexism2022_english-5206,2.2 aggressive and emotive attacks
sexism2022_english-13678,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-2115,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-15999,2.2 aggressive and emotive attacks
sexism2022_english-3267,2.1 descriptive attacks
sexism2022_english-18079,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-6014,3.2 immutable gender differences and gender stereotypes
sexism2022_english-15730,4.2 supporting systemic discrimination against women as a group
sexism2022_english-17495,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13970,2.2 aggressive and emotive attacks
sexism2022_english-10369,3.2 immutable gender differences and gender stereotypes
sexism2022_english-1868,3.2 immutable gender differences and gender stereotypes
sexism2022_english-10155,2.1 descriptive attacks
sexism2022_english-9835,2.2 aggressive and emotive attacks
sexism2022_english-14485,4.2 supporting systemic discrimination against women as a group
sexism2022_english-15195,3.2 immutable gender differences and gender stereotypes
sexism2022_english-17171,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-3316,2.2 aggressive and emotive attacks
sexism2022_english-8426,4.2 supporting systemic discrimination against women as a group
sexism2022_english-8451,2.2 aggressive and emotive attacks
sexism2022_english-2217,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-12298,1.2 incitement and encouragement of harm
sexism2022_english-18766,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-8340,2.2 aggressive and emotive attacks
sexism2022_english-6173,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-19442,2.2 aggressive and emotive attacks
sexism2022_english-4717,2.2 aggressive and emotive attacks
sexism2022_english-1938,2.1 descriptive attacks
sexism2022_english-6033,4.2 supporting systemic discrimination against women as a group
sexism2022_english-431,2.1 descriptive attacks
sexism2022_english-6107,4.2 supporting systemic discrimination against women as a group
sexism2022_english-10341,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-16708,2.1 descriptive attacks
sexism2022_english-3853,2.2 aggressive and emotive attacks
sexism2022_english-4221,2.1 descriptive attacks
sexism2022_english-3131,2.2 aggressive and emotive attacks
sexism2022_english-7359,2.2 aggressive and emotive attacks
sexism2022_english-5864,2.1 descriptive attacks
sexism2022_english-10176,2.1 descriptive attacks
sexism2022_english-10268,3.2 immutable gender differences and gender stereotypes
sexism2022_english-6264,2.2 aggressive and emotive attacks
sexism2022_english-4119,3.3 backhanded gendered compliments
sexism2022_english-15247,2.2 aggressive and emotive attacks
sexism2022_english-2790,1.2 incitement and encouragement of harm
sexism2022_english-18294,1.2 incitement and encouragement of harm
sexism2022_english-16844,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-19404,1.2 incitement and encouragement of harm
sexism2022_english-16545,2.1 descriptive attacks
sexism2022_english-19501,2.2 aggressive and emotive attacks
sexism2022_english-7028,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-19907,2.1 descriptive attacks
sexism2022_english-13186,2.1 descriptive attacks
sexism2022_english-6808,2.2 aggressive and emotive attacks
sexism2022_english-5191,2.1 descriptive attacks
sexism2022_english-10538,2.2 aggressive and emotive attacks
sexism2022_english-12554,2.1 descriptive attacks
sexism2022_english-17889,2.1 descriptive attacks
sexism2022_english-9809,2.2 aggressive and emotive attacks
sexism2022_english-4156,3.2 immutable gender differences and gender stereotypes
sexism2022_english-8690,4.1 supporting mistreatment of individual women
sexism2022_english-11041,2.2 aggressive and emotive attacks
sexism2022_english-13053,2.2 aggressive and emotive attacks
sexism2022_english-2411,2.1 descriptive attacks
sexism2022_english-11181,2.2 aggressive and emotive attacks
sexism2022_english-2524,2.1 descriptive attacks
sexism2022_english-12276,2.1 descriptive attacks
sexism2022_english-16881,3.3 backhanded gendered compliments
sexism2022_english-7647,2.1 descriptive attacks
sexism2022_english-10488,4.2 supporting systemic discrimination against women as a group
sexism2022_english-4605,2.2 aggressive and emotive attacks
sexism2022_english-8575,2.1 descriptive attacks
sexism2022_english-3755,4.2 supporting systemic discrimination against women as a group
sexism2022_english-12277,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-6906,2.2 aggressive and emotive attacks
sexism2022_english-1178,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-1958,3.2 immutable gender differences and gender stereotypes
sexism2022_english-1661,2.2 aggressive and emotive attacks
sexism2022_english-13369,2.2 aggressive and emotive attacks
sexism2022_english-19449,2.1 descriptive attacks
sexism2022_english-14366,3.2 immutable gender differences and gender stereotypes
sexism2022_english-9931,2.2 aggressive and emotive attacks
sexism2022_english-9907,2.1 descriptive attacks
sexism2022_english-18325,3.2 immutable gender differences and gender stereotypes
sexism2022_english-328,1.2 incitement and encouragement of harm
sexism2022_english-7019,2.2 aggressive and emotive attacks
sexism2022_english-874,4.2 supporting systemic discrimination against women as a group
sexism2022_english-18249,2.2 aggressive and emotive attacks
sexism2022_english-146,1.2 incitement and encouragement of harm
sexism2022_english-16697,2.1 descriptive attacks
sexism2022_english-19989,2.2 aggressive and emotive attacks
sexism2022_english-18922,2.2 aggressive and emotive attacks
sexism2022_english-14369,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-18057,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-6237,2.2 aggressive and emotive attacks
sexism2022_english-3208,2.2 aggressive and emotive attacks
sexism2022_english-1455,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7972,2.2 aggressive and emotive attacks
sexism2022_english-5318,2.2 aggressive and emotive attacks
sexism2022_english-9561,3.2 immutable gender differences and gender stereotypes
sexism2022_english-13810,2.2 aggressive and emotive attacks
sexism2022_english-13808,4.2 supporting systemic discrimination against women as a group
sexism2022_english-1611,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-16341,2.2 aggressive and emotive attacks
sexism2022_english-5023,4.1 supporting mistreatment of individual women
sexism2022_english-19869,2.2 aggressive and emotive attacks
sexism2022_english-2831,4.1 supporting mistreatment of individual women
sexism2022_english-8995,1.2 incitement and encouragement of harm
sexism2022_english-19305,3.4 condescending explanations or unwelcome advice
sexism2022_english-1665,2.2 aggressive and emotive attacks
sexism2022_english-8218,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-625,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-18808,2.2 aggressive and emotive attacks
sexism2022_english-10846,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-1749,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-14991,2.1 descriptive attacks
sexism2022_english-7118,3.2 immutable gender differences and gender stereotypes
sexism2022_english-18058,2.1 descriptive attacks
sexism2022_english-8452,4.2 supporting systemic discrimination against women as a group
sexism2022_english-16478,2.1 descriptive attacks
sexism2022_english-19842,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-16667,2.2 aggressive and emotive attacks
sexism2022_english-5368,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-12588,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-5842,1.1 threats of harm
sexism2022_english-17442,3.2 immutable gender differences and gender stereotypes
sexism2022_english-16890,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7093,2.2 aggressive and emotive attacks
sexism2022_english-13767,1.2 incitement and encouragement of harm
sexism2022_english-6934,1.2 incitement and encouragement of harm
sexism2022_english-11626,1.2 incitement and encouragement of harm
sexism2022_english-9998,4.2 supporting systemic discrimination against women as a group
sexism2022_english-7239,1.2 incitement and encouragement of harm
sexism2022_english-7937,2.2 aggressive and emotive attacks
sexism2022_english-8536,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-17782,2.2 aggressive and emotive attacks
sexism2022_english-6369,2.1 descriptive attacks
sexism2022_english-14511,3.2 immutable gender differences and gender stereotypes
sexism2022_english-7153,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-2659,3.2 immutable gender differences and gender stereotypes
sexism2022_english-19218,2.1 descriptive attacks
sexism2022_english-7606,2.2 aggressive and emotive attacks
sexism2022_english-7438,3.2 immutable gender differences and gender stereotypes
sexism2022_english-1268,4.2 supporting systemic discrimination against women as a group
sexism2022_english-5669,3.2 immutable gender differences and gender stereotypes
sexism2022_english-10042,3.2 immutable gender differences and gender stereotypes
sexism2022_english-3180,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-19443,1.2 incitement and encouragement of harm
sexism2022_english-2113,2.2 aggressive and emotive attacks
sexism2022_english-2223,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-6275,2.1 descriptive attacks
sexism2022_english-2490,2.3 dehumanising attacks & overt sexual objectification
